frame,ball_x,ball_y,ball_z,action,action_name,reward,strategy,base_strategy,score_left,score_right,left_0_x,left_0_y,left_1_x,left_1_y,left_2_x,left_2_y,left_3_x,left_3_y,left_4_x,left_4_y,left_5_x,left_5_y,left_6_x,left_6_y,left_7_x,left_7_y,left_8_x,left_8_y,left_9_x,left_9_y,left_10_x,left_10_y,right_0_x,right_0_y,right_1_x,right_1_y,right_2_x,right_2_y,right_3_x,right_3_y,right_4_x,right_4_y,right_5_x,right_5_y,right_6_x,right_6_y,right_7_x,right_7_y,right_8_x,right_8_y,right_9_x,right_9_y,right_10_x,right_10_y
0,0.0,-0.0,0.11059734225273132,12,shot,0.0,random,random,0,0,-1.0097090005874634,9.98394769635702e-11,-0.4266543984413147,-0.19894461333751678,-0.5045487880706787,-0.06449045985937119,-0.5055146813392639,0.06459297984838486,-0.42658910155296326,0.19895166158676147,-0.18584927916526794,-0.10741075128316879,-0.270525187253952,-0.0,-0.18624374270439148,0.10739918798208237,-0.009873765520751476,-0.2194654643535614,1.8100491938621843e-10,0.01872328855097294,0.0017921741819009185,-0.021405790001153946,1.0097090005874634,-1.0649869007506307e-11,0.4242348372936249,0.19915345311164856,0.5055146813392639,0.06459399312734604,0.5038609504699707,-0.06440960615873337,0.4266543984413147,-0.19894461333751678,0.18624374270439148,0.10739918798208237,0.270525187253952,0.0,0.18624374270439148,-0.10739918798208237,0.010110294446349144,0.21961550414562225,0.04886849224567413,-1.3381200661410908e-11,0.009962533600628376,-0.21960443258285522
1,0.0,-0.0,0.10930104553699493,26,release_short_pass,0.0,random,random,0,0,-1.0053353309631348,3.2953673123614635e-10,-0.4266543984413147,-0.19894461333751678,-0.5004082918167114,-0.06422939151525497,-0.5055146813392639,0.06459297984838486,-0.42343634366989136,0.19930073618888855,-0.18204213678836823,-0.1073991060256958,-0.267672061920166,6.014298833179055e-06,-0.18492482602596283,0.1074218899011612,-0.007592665962874889,-0.2181880623102188,3.9760586489911987e-10,0.015466575510799885,0.005527830682694912,-0.023402562364935875,1.0053353309631348,-3.5151666299970685e-11,0.4194413125514984,0.19941934943199158,0.5054497122764587,0.06458597630262375,0.49938443303108215,-0.0640464797616005,0.4265890419483185,-0.19895131886005402,0.18409325182437897,0.10615907609462738,0.2703271508216858,2.1481998402350655e-08,0.18624374270439148,-0.10739918798208237,0.010110294446349144,0.21961550414562225,0.04423084110021591,-3.759962827198926e-11,0.0070725493133068085,-0.21958471834659576
2,0.0,-0.0,0.11075475811958313,15,release_sprint,0.0,random,random,0,0,-0.9992872476577759,4.369249684277321e-10,-0.42424577474594116,-0.19920296967029572,-0.49461629986763,-0.06426087766885757,-0.5030954480171204,0.06436806172132492,-0.4184206426143646,0.19987806677818298,-0.17648494243621826,-0.10709556192159653,-0.2626658082008362,3.351751001900993e-05,-0.1806039959192276,0.10731180012226105,-0.0070407455787062645,-0.21602842211723328,4.376315976273304e-10,0.01151060126721859,0.010934974066913128,-0.025333169847726822,0.9992872476577759,-4.6606725423448125e-11,0.4130440354347229,0.1995576024055481,0.502277672290802,0.06427055597305298,0.49325335025787354,-0.06380315124988556,0.42341291904449463,-0.19918911159038544,0.18024316430091858,0.10393889993429184,0.26680365204811096,1.9205235730623826e-06,0.18339495360851288,-0.1074388399720192,0.007258519995957613,0.21971991658210754,0.03789104148745537,2.1579532472060237e-07,0.0045788222923874855,-0.22029422223567963
3,0.0,-0.0,0.11053141206502914,8,bottom_left,0.0,random,random,0,0,-0.9917731881141663,-1.8666689027835304e-10,-0.4194977581501007,-0.19971105456352234,-0.487326055765152,-0.0645783394575119,-0.4982593059539795,0.06419316679239273,-0.4118914008140564,0.20065346360206604,-0.16933439671993256,-0.1064719557762146,-0.25606924295425415,9.050665539689362e-05,-0.174707293510437,0.10681558400392532,-0.004818834830075502,-0.21350598335266113,-5.981560025247745e-05,0.00785366352647543,0.018414251506328583,-0.025917276740074158,0.9917731881141663,5.736147112855861e-10,0.40514305233955383,0.19962279498577118,0.4971446096897125,0.06397604942321777,0.4856201410293579,-0.06362001597881317,0.4183269143104553,-0.1993514895439148,0.1752147376537323,0.10103921592235565,0.2614692747592926,8.808980055619031e-06,0.17841368913650513,-0.10732165724039078,0.002251153578981757,0.22003187239170074,0.030381137505173683,-6.927390495548025e-05,0.002078924560919404,-0.2208935171365738
4,-1.5144429198699072e-05,-2.1337820726330392e-05,0.1106959879398346,27,release_shot,0.0,random,random,0,0,-0.9829092621803284,-5.557489468621668e-10,-0.413180947303772,-0.20038540661334991,-0.47869881987571716,-0.06499038636684418,-0.4918134808540344,0.06437938660383224,-0.403940886259079,0.20160093903541565,-0.16072995960712433,-0.10565149784088135,-0.2480291724205017,0.00014075278886593878,-0.16731169819831848,0.10603544116020203,0.0002758783521130681,-0.21092645823955536,-0.0003047856444027275,0.0056513892486691475,0.027251549065113068,-0.026513107120990753,0.9829092621803284,9.301883152623702e-10,0.3960585594177246,0.1995924413204193,0.4904278516769409,0.06385260820388794,0.476693332195282,-0.06343550980091095,0.41169029474258423,-0.19932961463928223,0.16910648345947266,0.09751682728528976,0.2545701861381531,1.47376940731192e-05,0.17186352610588074,-0.10693850368261337,-0.00435539148747921,0.220601886510849,0.023608572781085968,-0.00040398442069999874,0.000499497284181416,-0.21955473721027374
5,-0.004267445299774408,2.81624925264623e-05,0.22731487452983856,26,release_short_pass,0.0,random,random,0,0,-0.9735443592071533,-1.9139136497869913e-08,-0.40538325905799866,-0.20121775567531586,-0.4693988859653473,-0.06546641141176224,-0.4839150011539459,0.06473664939403534,-0.3948749303817749,0.20268379151821136,-0.15158295631408691,-0.10471004992723465,-0.23886512219905853,0.00016599096124991775,-0.15859456360340118,0.10505354404449463,0.0070219445042312145,-0.2086959332227707,-0.0013508142437785864,0.005298514850437641,0.03456446900963783,-0.026588357985019684,0.9735443592071533,1.1047164294453182e-09,0.38662707805633545,0.19951754808425903,0.4822935461997986,0.06374427676200867,0.46733182668685913,-0.063266821205616,0.4036082327365875,-0.19927531480789185,0.1621919572353363,0.09352950751781464,0.24626320600509644,-1.699830318102613e-05,0.16383114457130432,-0.10644321888685226,-0.012489870190620422,0.22132515907287598,0.01732119917869568,-0.0005534923984669149,-0.00044785652426071465,-0.21635490655899048
6,-0.014823364093899727,0.00015135134162846953,0.4491066634654999,0,idle,0.0,random,random,0,0,-0.9634283781051636,-1.1418173073707294e-07,-0.39640727639198303,-0.20217610895633698,-0.45953306555747986,-0.06597165018320084,-0.4748377799987793,0.06518525630235672,-0.38491231203079224,0.20387476682662964,-0.14181837439537048,-0.10364492237567902,-0.22939012944698334,0.0005217064172029495,-0.1492498368024826,0.10478618741035461,0.015115518122911453,-0.2063661366701126,-0.0027953083626925945,0.005084693431854248,0.036868155002593994,-0.024882173165678978,0.9634283781051636,1.2574251639918543e-09,0.3762732148170471,0.1994251161813736,0.4730914235115051,0.06363136321306229,0.45723259449005127,-0.06309524178504944,0.3944564163684845,-0.19919422268867493,0.15409351885318756,0.09075862169265747,0.2369978278875351,-9.780914842849597e-05,0.15471512079238892,-0.10587342828512192,-0.021618211641907692,0.22214677929878235,0.011652408167719841,-0.0006138114258646965,0.001821681042201817,-0.2128017246723175
7,-0.02528059296309948,0.0002737471950240433,0.5721265077590942,25,release_high_pass,0.0,random,random,0,0,-0.9524226784706116,-2.0973398306978197e-07,-0.38658377528190613,-0.20322811603546143,-0.4487698972225189,-0.06651794165372849,-0.46542325615882874,0.0656597688794136,-0.3740990161895752,0.20516815781593323,-0.13106802105903625,-0.10241729766130447,-0.21913358569145203,0.0015366926090791821,-0.13930954039096832,0.10641102492809296,0.024445664137601852,-0.20409545302391052,-0.006465827114880085,0.004928826820105314,0.036965999752283096,-0.02201385796070099,0.9524226784706116,1.340893729384618e-09,0.36536622047424316,0.19932055473327637,0.4635387659072876,0.06351064145565033,0.44624853134155273,-0.06291937828063965,0.384893536567688,-0.19910451769828796,0.14406254887580872,0.08995061367750168,0.22736996412277222,-0.00020481468527577817,0.14518387615680695,-0.10527804493904114,-0.031131718307733536,0.22299978137016296,0.0059058526530861855,-0.0006436915718950331,0.005501206964254379,-0.2092452198266983
8,-0.035646647214889526,0.00039535295218229294,0.5972249507904053,32,release_switch,0.0,random,random,0,0,-0.9406490325927734,7.095993623806862e-06,-0.3758496642112732,-0.20438264310359955,-0.4372183084487915,-0.06708581000566483,-0.45515871047973633,0.06615106761455536,-0.3625532388687134,0.20655137300491333,-0.11946096271276474,-0.10107163339853287,-0.20820295810699463,0.003187373746186495,-0.12875434756278992,0.10860361158847809,0.03420620039105415,-0.2020382136106491,-0.012002266012132168,0.004627947695553303,0.04118410497903824,-0.02041717991232872,0.9406490325927734,2.0038040116077127e-09,0.35412031412124634,0.19920752942562103,0.4530853033065796,0.06336703151464462,0.43448522686958313,-0.06273932009935379,0.3743898868560791,-0.1990051120519638,0.13339383900165558,0.08962327986955643,0.21681486070156097,-0.0003362719144206494,0.134682297706604,-0.10462578386068344,-0.04169810190796852,0.22393788397312164,-0.001485202694311738,-0.0006606733659282327,0.009771067649126053,-0.2059381604194641
9,-0.04592603072524071,0.0005161555600352585,0.5252160429954529,12,shot,0.0,random,random,0,0,-0.9282607436180115,3.40357146342285e-05,-0.3643474280834198,-0.2056260108947754,-0.4250131845474243,-0.06763365119695663,-0.4440346956253052,0.06665832549333572,-0.3503894805908203,0.20801693201065063,-0.1071556881070137,-0.09963827580213547,-0.1966349333524704,0.005154349375516176,-0.11745971441268921,0.11096958816051483,0.044886741787195206,-0.20018143951892853,-0.020091235637664795,0.004561319015920162,0.04778767377138138,-0.020183341577649117,0.9282605648040771,2.4387694086414058e-09,0.3421781659126282,0.19908307492733002,0.4418084919452667,0.06320369243621826,0.42209577560424805,-0.06256334483623505,0.3634905517101288,-0.19890424609184265,0.12245107442140579,0.08843997865915298,0.20543766021728516,-0.000485740602016449,0.12332025915384293,-0.1039394661784172,-0.05318932980298996,0.22494128346443176,-0.009811507537961006,-0.0008833911269903183,0.014229902066290379,-0.20269711315631866
